STATIONS_ID;MESS_DATUM;QN_4;NEBEL;GEWITTER;STURM_6;STURM_8; TAU;GLATTEIS;REIF;GRAUPEL;HAGEL;eor
       1346;19490318;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490319;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490320;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490321;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490322;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490323;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490324;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490325;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490326;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490327;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490328;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490329;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490330;    5;   0;   1;   0;   0;   0;   0;   0;   1;   0;eor
       1346;19490331;    5;   0;   1;   0;   0;   0;   0;   0;   1;   0;eor
       1346;19490401;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490402;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490403;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490404;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490405;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490406;    5;   0;   1;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490407;    5;   1;   1;   0;   1;   0;   0;   0;   1;   0;eor
       1346;19490408;    5;   1;   1;   1;   0;   0;   0;   0;   1;   0;eor
       1346;19490409;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490410;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490411;    5;   0;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490412;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490413;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490414;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490415;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490416;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490417;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490418;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490419;    5;   0;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490420;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490421;    5;   0;   1;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490422;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490423;    5;   0;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490424;    5;   0;   1;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490425;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490426;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490427;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490428;    5;   1;   0;   0;   0;   0;   0;   0;   0;   0;eor
       1346;19490429;    5;   1;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490430;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490501;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490502;    5;   1;   0;   0;   1;   0;   0;   0;   0;   0;eor
       1346;19490503;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490504;    5;   1;   1;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490505;    5;   1;   0;   1;   0;   0;   0;   0;   1;   0;eor
       1346;19490506;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
       1346;19490507;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490508;    5;   0;   0;   0;   0;   1;   0;   0;   0;   0;eor
       1346;19490509;    5;   1;   0;   1;   0;   1;   0;   1;   1;   0;eor
       1346;19490510;    5;   1;   0;   1;   0;   0;   0;   0;   1;   0;eor
       1346;19490511;    5;   1;   0;   1;   0;   0;   0;   1;   0;   0;eor
       1346;19490512;    5;   1;   0;   1;   0;   0;   0;   0;   0;   0;eor
