Stations_id;Beginn;Ende;Anzahl_Jahre;Fehl_Jahre;Fehl_Werte;max(Fehl_Zeitraum)>=25;Stationsname;eor;
1207;01.06.1948;31.12.2011;63.62;3.08;1124;-;Elster,Bad-Sohl;eor;
5540;01.01.1949;30.06.2012;63.54;;;-;Wiesbaden(Süd);eor;
3739;01.10.1948;31.12.2011;63.29;;;-;Oberviechtach;eor;
2115;01.05.1952;31.05.2015;63.12;.02;6;-;Helgoland;eor;
5017;01.01.1949;31.12.2011;63.04;.33;120;-;Teuschnitz;eor;
5111;01.01.1949;31.12.2011;63.04;.01;3;-;Trostberg;eor;
5229;01.01.1949;31.12.2011;63.04;;;-;Villingen-Schwenningen;eor;
151;01.01.1949;31.12.2011;63.04;.16;59;-;Amberg-Unterammersricht;eor;
3527;01.01.1949;31.12.2011;63.04;;;-;Neukirchen-Hauptschwenda;eor;
661;01.01.1891;31.12.1953;63.04;15.26;5571;-;Braunschweig(T.H.);eor;
1357;01.01.1949;31.12.2011;63.04;.34;123;-;Fichtelberg/Oberfranken-Hüttstadl;eor;
3621;01.01.1949;31.12.2011;63.04;;;-;Reimlingen;eor;
217;01.01.1949;31.12.2011;63.04;3.59;1309;-;Attenkam;eor;
3271;01.01.1949;31.12.2011;63.04;;;-;Metten;eor;
3257;01.01.1949;31.12.2011;63.04;;;-;Mergentheim,Bad-Neunkirchen;eor;
4287;01.01.1949;31.12.2011;63.04;;;-;RothenburgobderTauber;eor;
330;01.01.1949;31.12.2011;63.04;3.33;1217;-;Oberzent-Beerfelden;eor;
755;01.01.1949;31.12.2011;63.04;.33;122;-;Buchen,Kr.Neckar-Odenwald;eor;
2750;01.01.1949;31.12.2011;63.04;1;365;-;Kronach;eor;
257;01.01.1949;31.12.2011;63.04;.1;37;-;Baden-Baden-Geroldsau;eor;
2480;01.01.1949;31.12.2011;63.04;.17;61;-;Kahl/Main;eor;
1645;01.01.1949;31.12.2011;63.04;1.42;517;-;Gilserberg-Moischeid;eor;
3164;01.01.1949;31.12.2011;63.04;8.17;2981;-;Cölbe,Kr.Marburg-Biedenkopf;eor;
1279;01.01.1949;31.12.2011;63.04;1;365;-;Möhrendorf-Kleinseebach;eor;
979;01.01.1949;31.12.2011;63.04;.24;89;-;Dillenburg;eor;
