Stations_id;Beginn;Ende;Anzahl_Jahre;Fehl_Jahre;Fehl_Werte;max(Fehl_Zeitraum)>=25;Stationsname;eor;
282;01.01.1949;30.09.2008;59.79;;;-;Bamberg;eor;
1639;01.01.1949;31.08.2008;59.7;;;-;Gießen/Wettenberg;eor;
5404;01.07.1936;29.02.1996;59.7;7.85;2866;-;Weihenstephan-Dürnast;eor;
5155;01.01.1945;26.08.2004;59.69;3.83;1398;-;Ulm;eor;
5654;01.07.1948;31.12.2007;59.54;;;-;Wörnitz-Bottenweiler;eor;
1303;01.01.1950;31.05.2009;59.45;1.16;424;-;Essen-Bredeney;eor;
5750;01.09.1952;31.12.2011;59.37;.08;31;-;Zeitz;eor;
817;01.10.1952;31.12.2011;59.29;.34;124;-;Burgwald-Bottendorf;eor;
2831;01.01.1949;31.03.2008;59.28;24.85;9070;-;Landshut;eor;
619;01.01.1947;28.02.2006;59.2;.08;31;-;Borkum-Süderstraße;eor;
4508;01.01.1953;31.12.2011;59.04;.42;153;-;Schneifelforsthaus;eor;
5165;01.02.1948;31.12.2006;58.95;;;-;Unterlüß;eor;
4911;01.01.1951;30.09.2009;58.79;18.85;6879;-;Straubing;eor;
3640;01.05.1948;31.12.2006;58.71;;;-;Nordhorn-Blanke;eor;
4036;01.06.1953;31.12.2011;58.62;;;-;Querfurt-MühleLodersleben;eor;
5825;01.07.1953;31.12.2011;58.54;22;8031;-;Berge;eor;
4692;01.01.1950;05.06.2008;58.47;1.24;453;-;Siegen(Kläranlage);eor;
4175;01.09.1953;31.12.2011;58.37;;;-;Rheinfelden;eor;
430;01.01.1963;25.04.2021;58.35;;;-;Berlin-Tegel;eor;
2044;01.05.1945;31.07.2003;58.29;20.11;7340;-;Harzgerode;eor;
2260;01.01.1949;31.12.2006;58.04;1;365;-;Hof(Stadt);eor;
4278;01.01.1951;31.12.2008;58.04;.33;121;-;RothbeiNürnberg;eor;
4386;01.01.1949;31.12.2006;58.04;.08;30;-;SanktBlasien;eor;
480;01.01.1949;31.12.2006;58.04;.05;17;-;Biedenkopf-Wallau;eor;
2268;01.01.1949;31.12.2006;58.04;1;365;-;Hofheim;eor;
982;01.01.1949;30.11.2006;57.95;;;-;Dillingen/Donau;eor;
4125;01.01.1949;30.11.2006;57.95;3.08;1125;-;Reichenhall,Bad;eor;
591;01.01.1951;31.08.2008;57.7;13.89;5071;-;Boizenburg;eor;
